epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17267.2,2.08927,0.95579,0.92331,0.71473,0.58749,0.67507,0.31062,1.89059,0.89436,0.91797,0.0005941,0.0005941,0.0005941
43,17694.8,2.0826,0.94289,0.91986,0.71253,0.60315,0.68859,0.33418,1.84018,0.87688,0.91254,0.0005842,0.0005842,0.0005842
44,18129.6,2.05534,0.93744,0.91461,0.713,0.60459,0.69089,0.33774,1.80813,0.86945,0.90885,0.0005743,0.0005743,0.0005743
45,18521.5,2.0482,0.93346,0.91731,0.71822,0.60706,0.69285,0.34008,1.81178,0.87105,0.91236,0.0005644,0.0005644,0.0005644
46,18946.4,2.04261,0.93469,0.91919,0.70826,0.60665,0.69459,0.34215,1.79896,0.8624,0.90856,0.0005545,0.0005545,0.0005545
47,19371.6,2.02907,0.92786,0.91689,0.73801,0.59281,0.6965,0.33855,1.81977,0.86779,0.91188,0.0005446,0.0005446,0.0005446
48,19803.4,2.04203,0.93387,0.91895,0.69938,0.60273,0.68085,0.33509,1.80407,0.87116,0.9107,0.0005347,0.0005347,0.0005347
49,20254.5,2.03122,0.92043,0.91308,0.69338,0.61458,0.67501,0.32091,1.84598,0.87466,0.91251,0.0005248,0.0005248,0.0005248
50,20690.6,2.0402,0.93267,0.91352,0.71801,0.60686,0.6906,0.33537,1.83077,0.86263,0.91128,0.0005149,0.0005149,0.0005149
51,21118,2.04319,0.93342,0.91688,0.72343,0.60141,0.6945,0.33826,1.80153,0.86481,0.90716,0.000505,0.000505,0.000505
52,21553.6,2.06144,0.93989,0.91546,0.74312,0.59175,0.6845,0.33478,1.79398,0.86535,0.90691,0.0004951,0.0004951,0.0004951
53,21986.9,2.01906,0.91945,0.91652,0.7338,0.60719,0.6955,0.34111,1.80711,0.85419,0.90834,0.0004852,0.0004852,0.0004852
54,22414.4,2.02952,0.9281,0.91197,0.74305,0.59973,0.70012,0.33734,1.80951,0.85973,0.90708,0.0004753,0.0004753,0.0004753
55,22848.7,2.01538,0.91469,0.91177,0.70478,0.61929,0.69468,0.33371,1.81488,0.86135,0.90625,0.0004654,0.0004654,0.0004654
56,23280.2,2.01134,0.91191,0.90934,0.7354,0.60905,0.70213,0.34395,1.8061,0.85806,0.90497,0.0004555,0.0004555,0.0004555
57,23698.2,2.01368,0.91245,0.90973,0.72874,0.61147,0.69891,0.35189,1.75736,0.8351,0.90251,0.0004456,0.0004456,0.0004456
58,24122,2.02436,0.91341,0.91307,0.72523,0.60791,0.69099,0.33916,1.81214,0.8634,0.90548,0.0004357,0.0004357,0.0004357
59,24535.3,2.00989,0.91515,0.91017,0.71128,0.62356,0.69813,0.33795,1.82166,0.86616,0.90586,0.0004258,0.0004258,0.0004258
60,24969.2,2.00929,0.90812,0.90959,0.74449,0.61203,0.7075,0.34805,1.78248,0.85281,0.90143,0.0004159,0.0004159,0.0004159
61,25430,2.0267,0.9143,0.90815,0.73709,0.60683,0.70072,0.35122,1.76579,0.84212,0.90201,0.000406,0.000406,0.000406
62,25857.7,1.9932,0.90007,0.90366,0.70877,0.63177,0.70511,0.35615,1.7565,0.8342,0.90149,0.0003961,0.0003961,0.0003961
63,26302,1.97132,0.89773,0.90445,0.72769,0.63208,0.70878,0.35362,1.75487,0.83236,0.89932,0.0003862,0.0003862,0.0003862
64,26738.8,1.9772,0.89464,0.90547,0.74507,0.6045,0.71137,0.36551,1.72614,0.83115,0.89602,0.0003763,0.0003763,0.0003763
65,27171.9,1.97341,0.89078,0.9018,0.73325,0.63156,0.7147,0.36428,1.74204,0.82652,0.89822,0.0003664,0.0003664,0.0003664
66,27608.1,1.96018,0.88665,0.90098,0.73129,0.624,0.71539,0.35001,1.79311,0.84004,0.90181,0.0003565,0.0003565,0.0003565
67,28033.9,1.96538,0.88968,0.90089,0.73157,0.61771,0.71254,0.35871,1.73867,0.82994,0.89528,0.0003466,0.0003466,0.0003466
